date,SNP,ford,google,vestas,aapl
2015-10-01,3577.46997070312,10.4800729751586,642.0,16.4352741241455,102.269157409667
2015-10-02,3629.0400390625,10.7253990173339,656.989990234375,16.3978404998779,103.015785217285
2015-10-05,3695.61010742187,10.8787288665771,671.679992675781,16.8470916748046,103.389106750488
2015-10-06,3682.330078125,10.9707260131835,671.640014648437,17.0530033111572,103.883735656738
2015-10-07,3713.36010742187,11.3080520629882,670.0,17.4086647033691,103.389106750488
2015-10-08,3746.1201171875,11.4920482635498,667.0,17.7830448150634,102.194480895996
2015-10-09,3748.9599609375,11.4767150878906,671.239990234375,17.9983119964599,104.63971710205
2015-10-12,3753.72998046875,11.4843816757202,676.429992675781,17.6426525115966,104.15436553955
2015-10-13,3728.47998046875,11.4537143707275,683.169982910156,17.6145725250244,104.331710815429
2015-10-14,3711.11010742187,11.5073804855346,680.409973144531,17.5022602081298,102.857131958007
2015-10-15,3766.42993164062,11.6683769226074,693.02001953125,17.8298397064209,104.397048950195
2015-10-16,3783.63989257812,11.7143745422363,695.320007324218,17.7362480163574,103.631767272949
2015-10-19,3784.71997070312,11.7757081985473,699.950012207031,17.7549629211425,104.27571105957
2015-10-20,3779.43994140625,11.7910404205322,680.0,17.8391990661621,106.179641723632
2015-10-21,3757.90991210937,11.8140392303466,671.799987792968,18.0638275146484,106.170295715332
2015-10-22,3820.48999023437,11.9443702697753,681.140014648437,17.8766384124755,107.794189453125
2015-10-23,3862.64990234375,12.0133686065673,719.330017089843,18.0170307159423,111.135353088378
2015-10-26,3855.2900390625,12.0210361480712,731.119995117187,18.2510185241699,107.5888671875
2015-10-27,3845.44995117187,11.4153833389282,732.820007324218,18.1199855804443,106.907569885253
2015-10-28,3891.34008789062,11.5935077667236,736.919982910156,18.1480655670166,111.312667846679
2015-10-29,3890.0400390625,11.4076385498046,744.849975585937,18.2322998046875,112.488594055175
2015-10-30,3871.330078125,11.4695949554443,737.390014648437,18.2042198181152,111.52732849121
2015-11-02,3917.30004882812,11.4231281280517,747.739990234375,18.5879611968994,113.095245361328
2015-11-03,3928.05004882812,11.4695949554443,748.820007324218,18.2510185241699,114.392501831054
2015-11-04,3915.52001953125,11.345682144165,755.309997558593,17.8111248016357,113.860534667968
2015-11-05,3911.88989257812,11.2837266921997,760.669982910156,18.6628360748291,113.335655212402
2015-11-06,3910.97998046875,11.2450056076049,761.599975585937,18.8313083648681,113.466873168945
2015-11-09,3873.3701171875,11.097861289978,754.77001953125,18.8968257904052,113.007606506347
2015-11-10,3880.22998046875,11.0591344833374,758.260009765625,18.8500251770019,109.44595336914
2015-11-11,3867.7099609375,11.0823707580566,765.25,18.8219509124755,108.827339172363
2015-11-12,3814.2900390625,10.87327003479,756.530029296875,18.8874645233154,108.461807250976
2015-11-13,3771.59008789062,10.7803363800048,740.070007324218,18.6628360748291,105.293807983398
2015-11-16,3828.4599609375,10.87327003479,750.419982910156,19.140172958374,107.018402099609
2015-11-17,3824.13989257812,10.9584589004516,745.97998046875,19.2337646484375,106.559135437011
2015-11-18,3886.26000976562,11.198537826538,760.010009765625,19.4583950042724,109.93334197998
2015-11-19,3882.06005859375,11.2837266921997,759.940002441406,19.3367195129394,111.329895019531
2015-11-20,3897.44995117187,11.3069620132446,777.0,19.2524852752685,111.817260742187
2015-11-23,3892.80004882812,11.2682380676269,776.700012207031,19.3273620605468,110.36449432373
2015-11-24,3897.669921875,11.2682380676269,769.630004882812,19.4303169250488,111.423599243164
2015-11-25,3897.57006835937,11.2682380676269,769.260009765625,19.5426273345947,110.626922607421
2015-11-27,3900.73999023437,11.2527513504028,771.969970703125,20.0106048583984,110.42073059082
2015-11-30,3882.84008789062,11.097861289978,762.849975585937,20.2165126800537,110.879997253417
2015-12-01,3924.6298828125,11.2759838104248,783.789978027343,20.3662643432617,109.980186462402
2015-12-02,3882.3798828125,11.0436477661132,777.849975585937,20.2633094787597,108.986679077148
2015-12-03,3826.73999023437,10.8268022537231,768.200012207031,20.7125663757324,107.974418640136
2015-12-04,3905.31005859375,10.9971799850463,779.210021972656,20.862319946289,111.564193725585
2015-12-07,3878.31005859375,10.935224533081,772.989990234375,20.8810367584228,110.86124420166
2015-12-08,3853.47998046875,10.8190584182739,775.140014648437,20.8155193328857,110.814376831054
2015-12-09,3823.89990234375,10.7571029663085,762.549987792968,20.862319946289,108.36808013916
2015-12-10,3832.92993164062,10.811312675476,760.039978027343,20.5534534454345,108.883583068847
2015-12-11,3759.09008789062,10.5634889602661,750.419982910156,20.1603565216064,106.08112335205
2015-12-14,3777.21997070312,10.5480003356933,762.539978027343,20.5721721649169,105.425025939941
2015-12-15,3817.36010742187,10.7416114807128,760.090026855468,20.7593631744384,103.559844970703
2015-12-16,3873.1201171875,11.1210927963256,776.590026855468,21.9293022155761,104.35651397705
2015-12-17,3815.4599609375,10.8268022537231,769.830017089843,21.7608299255371,102.144554138183
2015-12-18,3747.56005859375,10.6874027252197,756.849975585937,21.6017169952392,99.3795852661132
2015-12-21,3777.14990234375,10.6331882476806,760.799987792968,21.6391563415527,100.598045349121
2015-12-22,3810.85009765625,10.9971799850463,767.130004882812,21.7982692718505,100.504333496093
2015-12-23,3858.46997070312,11.1210927963256,768.510009765625,21.8731460571289,101.797760009765
2015-12-24,3852.31005859375,11.0823707580566,765.840026855468,21.845064163208,101.25414276123
2015-12-28,3843.93994140625,10.9816932678222,782.239990234375,21.9012222290039,100.12003326416
2015-12-29,3885.55004882812,11.0204133987426,793.960021972656,22.1352100372314,101.919609069824
